Unique Skills,course_title,course_url
cost effectiveness,Pricing Strategy Optimization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy
cost efficiency,Cost Accounting,https://www.coursera.org/specializations/costaccounting
cost estimation,Construction Cost Estimating and Cost Control,https://www.coursera.org/learn/construction-cost-estimating
cost management,Construction Cost Estimating and Cost Control,https://www.coursera.org/learn/construction-cost-estimating
cost reduction,Cost Accounting,https://www.coursera.org/specializations/costaccounting
cost savings,Cost Accounting,https://www.coursera.org/specializations/costaccounting
counseling,Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid
cpa,Intuit Academy Bookkeeping,https://www.coursera.org/professional-certificates/intuit-bookkeeping
create 3D environments,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
create data models,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
create digital content,Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator
create software design,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
crisis management,High Stakes Leadership: Leading in Times of Crisis,https://www.coursera.org/learn/high-stakes-leadership
critical thinking skills,Critical Thinking Skills for the Professional,https://www.coursera.org/learn/critical-thinking-skills-for-professionals
crm,Introduction to CRM with HubSpot,https://www.coursera.org/projects/introduction-to-crm-with-hubspot
cryptography,Cryptography I,https://www.coursera.org/learn/crypto
curating,Modern and Contemporary Art and Design,https://www.coursera.org/specializations/modern-contemporary-art-design
customer base,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
customer data,Customer Analytics,https://www.coursera.org/learn/wharton-customer-analytics
customer engagement,SAP Customer Engagement and Discovery,https://www.coursera.org/learn/sap-customer-engagement-and-discovery
customer experience,Branding and Customer Experience,https://www.coursera.org/learn/branding-and-cx
customer insight,Customer Analytics,https://www.coursera.org/learn/wharton-customer-analytics
customer management,Customer Relationship Management,https://www.coursera.org/learn/customer-relationship-management
customer relations,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
customer requirements,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
customer research,Customer Analytics,https://www.coursera.org/learn/wharton-customer-analytics
customer satisfaction,Create a services customer satisfaction process,https://www.coursera.org/projects/create-a-services-customer-satisfaction-process
customer service,Customer Service Fundamentals,https://www.coursera.org/learn/customer-service-fundamentals
customer success,GenerativeAI for Customer Success,https://www.coursera.org/learn/generativeai-for-customer-success
customer support management,Customer Relationship Management,https://www.coursera.org/learn/customer-relationship-management
customer training,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
customer value,"Customer Value, Acquisition, and Retention",https://www.coursera.org/learn/customer-value-acquisition-and-retention
cyber security,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
dashboards,Data Visualization and Dashboards with Excel and Cognos,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos
data acquisition,Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python
data analysis,Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics
data analytics,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data collection analysis,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data engineering design,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer
data entry,Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
data exchange,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data flow,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data ingestion,AI Workflow: Business Priorities and Data Ingestion,https://www.coursera.org/learn/ibm-ai-workflow-business-priorities-data-ingestion
data integrity,Process Data from Dirty to Clean,https://www.coursera.org/learn/process-data
data management,Introduction to Data Management,https://www.coursera.org/learn/introduction-to-data-management
data mining methods,Data Mining Methods,https://www.coursera.org/learn/data-mining-methods
data models,The Path to Insights: Data Models and Pipelines,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines
data monitoring,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data pipelines,"ETL and Data Pipelines with Shell, Airflow and Kafka",https://www.coursera.org/learn/etl-and-data-pipelines-shell-airflow-kafka
data preparation,"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai
data privacy,Data Privacy Fundamentals,https://www.coursera.org/learn/northeastern-data-privacy
data processing,Serverless Data Processing with Dataflow,https://www.coursera.org/specializations/serverless-data-processing-with-dataflow
data products,Developing Data Products,https://www.coursera.org/learn/data-products
data protection,Privacy Law and Data Protection,https://www.coursera.org/learn/privacy-law-data-protection
data quality,Total Data Quality,https://www.coursera.org/specializations/total-data-quality
data quality assessment,Total Data Quality,https://www.coursera.org/specializations/total-data-quality
data science,IBM Data Science,https://www.coursera.org/professional-certificates/ibm-data-science
data services,Data Pipelines with TensorFlow Data Services,https://www.coursera.org/learn/data-pipelines-tensorflow
data solutions,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data storage,Data Storage and Queries,https://www.coursera.org/learn/data-storage-and-queries
data visualisation software,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
data visualization,Microsoft Data Visualization,https://www.coursera.org/professional-certificates/microsoft-data-visualization
data warehousing,Data Warehousing for Business Intelligence,https://www.coursera.org/specializations/data-warehousing
database development tools,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
database management systems,Database Management Essentials,https://www.coursera.org/learn/database-management
database models,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
database quality standards,Meta Database Engineer,https://www.coursera.org/professional-certificates/meta-database-engineer
datasets,Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science
debugging,Troubleshooting and Debugging Techniques,https://www.coursera.org/learn/troubleshooting-debugging-techniques
decommissioning,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
deep learning,Deep Learning,https://www.coursera.org/specializations/deep-learning
define integration strategy,Business Strategy,https://www.coursera.org/specializations/business-strategy
define software architecture,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
deliver online training,Google Cloud Digital Leader Training,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training
delivery of projects,Initiating and Planning Projects,https://www.coursera.org/learn/project-planning
demand planning,Demand Analytics,https://www.coursera.org/learn/demand-analytics
demand side,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
demonstration projects,Initiating and Planning Projects,https://www.coursera.org/learn/project-planning
design application interfaces,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design automation components,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design circuit boards,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design cloud networks,Preparing for Google Cloud Certification: Cloud Architect,https://www.coursera.org/professional-certificates/gcp-cloud-architect
design control systems,Control Systems Analysis: Modeling of Dynamic Systems,https://www.coursera.org/learn/modeling-feedback-systems
design database scheme,Google Cloud Database Engineer,https://www.coursera.org/specializations/google-cloud-database-engineer
design development,Design Thinking for Innovation,https://www.coursera.org/learn/uva-darden-design-thinking-innovation
design electrical systems,"Power System: Generation, Transmission and Protection",https://www.coursera.org/specializations/power-system-generation-transmission-and-protection
design electronic systems,FPGA Design for Embedded Systems,https://www.coursera.org/specializations/fpga-design
design engineering,Fundamental Skills in Engineering Design,https://www.coursera.org/learn/fundamental-skills-in-engineering-design
design information system,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
design interaction model,Interaction Design,https://www.coursera.org/specializations/interaction-design
design microelectromechanical systems,FPGA Design for Embedded Systems,https://www.coursera.org/specializations/fpga-design
design patterns,Design Patterns,https://www.coursera.org/learn/design-patterns
design power electronics,Power Electronics,https://www.coursera.org/specializations/power-electronics
design principles,UI/UX Design Principles,https://www.coursera.org/learn/uiux-design-principles
design process,"Start the UX Design Process: Empathize, Define, and Ideate",https://www.coursera.org/learn/start-ux-design-process
design smart grids,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design testing,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design the insulation concept,Graphic Design,https://www.coursera.org/specializations/graphic-design
design thinking,Design Thinking for Innovation,https://www.coursera.org/learn/uva-darden-design-thinking-innovation
design tools,"Innovation Through Design: Think, Make, Break, Repeat",https://www.coursera.org/learn/innovation-through-design
design user interface,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
design wind turbines,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
develop bioremediation techniques,Excel to MySQL: Analytic Techniques for Business,https://www.coursera.org/specializations/excel-mysql
develop blockchain technology,Blockchain,https://www.coursera.org/specializations/blockchain
develop design plans,Google UX Design,https://www.coursera.org/professional-certificates/google-ux-design
develop digital content,Adobe Content Creator,https://www.coursera.org/professional-certificates/adobe-content-creator
develop energy policy,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
develop environmental policy,Introduction to Environmental Law and Policy,https://www.coursera.org/learn/environmental-law
develop food policy,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
develop forestry strategies,Trading Strategies in Emerging Markets,https://www.coursera.org/specializations/trading-strategy
develop irrigation strategies,Deep Learning,https://www.coursera.org/specializations/deep-learning
develop management plans,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
develop software prototype,Software Design and Architecture,https://www.coursera.org/specializations/software-design-architecture
develop with cloud services,Preparing for Google Cloud Certification: Cloud Developer,https://www.coursera.org/professional-certificates/google-cloud-developer
development engineering,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals
development projects,PM4R Agile: Agile Mindset in Development Projects,https://www.coursera.org/learn/pm4r-agile-mindset-in-development-projects
devops,Introduction to DevOps,https://www.coursera.org/learn/intro-to-devops
dhcp,The Bits and Bytes of Computer Networking,https://www.coursera.org/learn/computer-networking
digital assets,Digital Assets,https://www.coursera.org/learn/digital-assets
digital camera sensors,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital content creation,Leveraging AI for Enhanced Content Creation,https://www.coursera.org/learn/leveraging-ai-for-enhanced-content-creation
digital image processing,Fundamentals of Digital Image and Video Processing,https://www.coursera.org/learn/digital
digital journalism,Become a Journalist: Report the News!,https://www.coursera.org/specializations/become-a-journalist
digital marketing techniques,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
digital media,Digital Media and Marketing Strategies,https://www.coursera.org/learn/marketing-plan
digital printing,Create and Design Digital Products using Canva,https://www.coursera.org/projects/create-design-digital-products-canva
digital services,Digital Transformation in Financial Services,https://www.coursera.org/specializations/digital-transformation-financial-services
digital signal processing,Digital Signal Processing,https://www.coursera.org/specializations/digital-signal-processing
digital systems,Digital Systems: From Logic Gates to Processors,https://www.coursera.org/learn/digital-systems
digital transformation,Digital Transformation,https://www.coursera.org/learn/bcg-uva-darden-digital-transformation
digital twin technology,Digital Twins,https://www.coursera.org/learn/digital-twins
disassemble mobile devices,Meta React Native,https://www.coursera.org/specializations/meta-react-native
disaster recovery,Disaster Recovery Planning for Organizations,https://www.coursera.org/learn/disaster-recovery-planning-for-organizations
dispose of hazardous waste,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
dissemination,"Surveillance Systems: Analysis, Dissemination, and Special Systems",https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis
distributed systems,"Parallel, Concurrent, and Distributed Programming in Java",https://www.coursera.org/specializations/pcdp
django,Django for Everybody,https://www.coursera.org/specializations/django
documentation,Introduction to Technical Writing,https://www.coursera.org/learn/technical-writing-introduction
domain name service,CVS Health Call Center Customer Service,https://www.coursera.org/professional-certificates/cvshealth-call-center-customer-service
domestic heating systems,FPGA Design for Embedded Systems,https://www.coursera.org/specializations/fpga-design
drainage,Introduction to GIS Mapping,https://www.coursera.org/learn/introduction-gis-mapping
drive change,Women's Leadership: Boost your skills and drive change,https://www.coursera.org/learn/womens-leadership-boost-you-skills-and-drive-change
ds,Interviewing for DS/AI Roles,https://www.coursera.org/specializations/interviewing-ds-ai
due diligence,Regulatory Compliance,https://www.coursera.org/specializations/regulatory-compliance
e-commerce systems,Google Digital Marketing & E-commerce,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce
earth sciences,Global Warming I: The Science and Modeling of Climate Change,https://www.coursera.org/learn/global-warming
ecological principles,Microeconomics Principles,https://www.coursera.org/specializations/microeconomics-principles
economic analysis,Finance & Quantitative Modeling for Analysts,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
economics,Managerial Economics and Business Analysis,https://www.coursera.org/specializations/managerial-economics-business-analysis
ecosystems,Ecosystem Services: a Method for Sustainable Development,https://www.coursera.org/learn/ecosystem-services
editorial,Graphic Design,https://www.coursera.org/specializations/graphic-design
educate people about nature,People and Soft Skills for Professional and Personal Success,https://www.coursera.org/specializations/people-and-soft-skills-for-professional-success
ehrs,Healthcare IT Support,https://www.coursera.org/specializations/healthcare-it
electric heating systems,Electric Power Systems,https://www.coursera.org/learn/electric-power-systems
electric motors,Embedding Sensors and Motors,https://www.coursera.org/specializations/embedding-sensors-motors
electrical devices,"Power System: Generation, Transmission and Protection",https://www.coursera.org/specializations/power-system-generation-transmission-and-protection
electrical engineering design,Electric Power Systems,https://www.coursera.org/learn/electric-power-systems
electrical equipment,"Power System: Generation, Transmission and Protection",https://www.coursera.org/specializations/power-system-generation-transmission-and-protection
electrical industry,Electric Industry Operations and Markets,https://www.coursera.org/learn/electricity
electrical infrastructure,Basics of Electrical Protection System,https://www.coursera.org/learn/basics-of-electrical-protection-system
electrical safety,"Power System: Generation, Transmission and Protection",https://www.coursera.org/specializations/power-system-generation-transmission-and-protection
electrical systems,Electric Power Systems,https://www.coursera.org/learn/electric-power-systems
electricity consumption,Electric Industry Operations and Markets,https://www.coursera.org/learn/electricity
electrification,Electric Vehicles and Mobility,https://www.coursera.org/learn/electric-vehicles-mobility
electronic and telecommunication equipment,Introduction to Electronics,https://www.coursera.org/learn/electronics
electronic business,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
embedded devices,Embedded Software Development with C,https://www.coursera.org/specializations/embedded-software-development-with-c
embedded systems,Introduction to Embedded Systems Software and Development Environments,https://www.coursera.org/learn/introduction-embedded-systems
emergency response,"Disaster, Crisis, and Emergency Preparedness Communication",https://www.coursera.org/learn/disaster-crisis-emergency-preparedness-communication
emergent technologies,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
emerging markets,Trading Strategies in Emerging Markets,https://www.coursera.org/specializations/trading-strategy
emission standards,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
ems,Become an EMT,https://www.coursera.org/specializations/become-an-emt
encryption,Cryptography I,https://www.coursera.org/learn/crypto
energy analysis,Renewable Energy,https://www.coursera.org/specializations/renewable-energy
energy conservation,Our Energy Future,https://www.coursera.org/learn/future-of-energy
energy efficiency,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
energy efficiency management,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
energy generation,Renewable Energy and Green Building Entrepreneurship,https://www.coursera.org/learn/renewable-energy-entrepreneurship
energy improvement,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
energy industry,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
energy markets,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
energy performance,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
energy policy,Global Energy and Climate Policy,https://www.coursera.org/learn/globalenergyandclimatepolicy
energy storage strategies,Renewable Energy,https://www.coursera.org/specializations/renewable-energy
energy systems,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
energy technology,Electric Power Systems,https://www.coursera.org/learn/electric-power-systems
energy transformation,Politics and Economics of International Energy,https://www.coursera.org/learn/global-energy
engineering design,Fundamental Skills in Engineering Design,https://www.coursera.org/learn/fundamental-skills-in-engineering-design
engineering management,Real-World Engineering Management,https://www.coursera.org/specializations/real-world-engineering-management
engineering operations,IBM Generative AI Engineering,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
engineering operations management,Engineering Project Management,https://www.coursera.org/specializations/engineering-project-management
engineering sales,Introduction to Tech Sales,https://www.coursera.org/learn/introduction-to-tech-sales
engineering support,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
english,Learn English: Beginning Grammar,https://www.coursera.org/specializations/learn-english-beginning-grammar
enterprise infrastructure,Google Cloud Fundamentals: Core Infrastructure,https://www.coursera.org/learn/gcp-fundamentals
enterprise systems,Enterprise Systems,https://www.coursera.org/learn/enterprise-systems
enterprise technology,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support
entrepreneurship,Entrepreneurship,https://www.coursera.org/specializations/wharton-entrepreneurship
environmental design,Environmental Management & Ethics,https://www.coursera.org/learn/environmental-management-ethics
environmental engineering,Global Environmental Management,https://www.coursera.org/learn/global-environmental-management
environmental impact of tourism,Introduction to Environmental Law and Policy,https://www.coursera.org/learn/environmental-law
environmental indoor quality,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
environmental legislation,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
environmental management,Global Environmental Management,https://www.coursera.org/learn/global-environmental-management
environmental policy,Introduction to Environmental Law and Policy,https://www.coursera.org/learn/environmental-law
environmental protection,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
environmental research,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
environmental science,Environmental Science,https://www.coursera.org/learn/environmental-science
environmental sciences,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
environmental threats,Introduction to Environmental Science,https://www.coursera.org/specializations/environmental-science
epms,Epidemiology in Public Health Practice,https://www.coursera.org/specializations/professional-epidemiology
erp,Enterprise Systems,https://www.coursera.org/learn/enterprise-systems
ethernet,Introduction to Networking,https://www.coursera.org/learn/introduction-to-networking-nvidia
etl,"BI Foundations with SQL, ETL and Data Warehousing",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
evaluate data,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
event planning,Introduction to Events Management,https://www.coursera.org/learn/introduction-to-events-management
excel,Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm
execute integration testing,Software Testing and Automation,https://www.coursera.org/specializations/software-testing-automation
executive management,The Manager's Toolkit: A Practical Guide to Managing People at Work,https://www.coursera.org/learn/people-management
external clients,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
facility management,Real Estate Property Management,https://www.coursera.org/learn/real-estate-property-management
failure analysis,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
fastapi,Mastering REST APIs with FastAPI,https://www.coursera.org/learn/packt-mastering-rest-apis-with-fastapi-1xeea
fault recovery,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
fault tolerance,Real-Time Embedded Systems,https://www.coursera.org/specializations/real-time-embedded-systems
fda clearance,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
field operations,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
figma,Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype
financial analysis,Financial Analysis - Skills for Success,https://www.coursera.org/specializations/financial-analysis-skills-for-success
financial documentation,Business and Financial Modeling,https://www.coursera.org/specializations/wharton-business-financial-modeling
financial institutions,Banking and Financial Institutions,https://www.coursera.org/learn/banking-and-financial-institutions
financial management,Financial Management,https://www.coursera.org/specializations/financial-management
financial markets,Financial Markets,https://www.coursera.org/learn/financial-markets-global
financial modeling,Business and Financial Modeling,https://www.coursera.org/specializations/wharton-business-financial-modeling
financial reporting,Financial Reporting,https://www.coursera.org/specializations/financial-reporting
financial services,Digital Transformation in Financial Services,https://www.coursera.org/specializations/digital-transformation-financial-services
financing,Financing and Investing in Infrastructure,https://www.coursera.org/learn/infrastructure-investing
firewalls,Next-Generation Firewalls and Intrusion Prevention,https://www.coursera.org/learn/advanced-network-security-first-course-1
firmware,Introduction to Embedded Systems Software and Development Environments,https://www.coursera.org/learn/introduction-embedded-systems
flask,Developing AI Applications with Python and Flask,https://www.coursera.org/learn/python-project-for-ai-application-development
flood control,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
fluid intelligence,AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone
fluid mechanics,Computational Fluid Mechanics - Airflow Around a Spoiler,https://www.coursera.org/projects/computational-fluid-mechanics-airflow-around-a-spoiler-uktyf
food industry,Food & Beverage Management,https://www.coursera.org/learn/food-beverage-management
food processing,Stanford Introduction to Food and Health,https://www.coursera.org/learn/food-and-health
forecasting,Excel Skills for Business Forecasting,https://www.coursera.org/specializations/excel-skills-for-business-forecasting
forest conservation,Tropical Forest Landscapes 101: Conservation & Restoration,https://www.coursera.org/learn/tropicalforests101
forestry regulations,Tropical Forest Landscapes 101: Conservation & Restoration,https://www.coursera.org/learn/tropicalforests101
forms,Improve Business Performance with Google Forms,https://www.coursera.org/projects/improve-business-performance-with-google-forms
framework,Mastering Laravel Framework and PHP,https://www.coursera.org/learn/laravel-framework-and-php
fraud detection,GenAI for Fraud Detection and Compliance,https://www.coursera.org/learn/genai-for-fraud-detection-and-compliance
french,French Intermediate course B1-B2,https://www.coursera.org/learn/etudier-en-france
front office,Hotel Front Office Operations,https://www.coursera.org/learn/hotel-front-office-operations
fuel cell types,Battery Technologies,https://www.coursera.org/specializations/battery-technologies
fundraising,Fundraising and Development,https://www.coursera.org/specializations/fundraising-development
gas emissions,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
gas industry,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
gas operations,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
gas systems,Oil & Gas Industry Operations and Markets,https://www.coursera.org/learn/oilandgas
gas water,Petroleum Engineering with AI Applications,https://www.coursera.org/specializations/petroleum-engineering-with-ai-applications
gas wind,Petroleum Engineering with AI Applications,https://www.coursera.org/specializations/petroleum-engineering-with-ai-applications
gcp,"Data Engineering, Big Data, and Machine Learning on GCP",https://www.coursera.org/specializations/gcp-data-machine-learning
gdpr,The ABC's of GDPR: Protecting Privacy in an Online World,https://www.coursera.org/learn/the-abcs-of-gdpr-protecting-privacy-in-an-online-world
generative models,Generative AI with Large Language Models,https://www.coursera.org/learn/generative-ai-with-llms
geographic information systems,Geographic Information Systems (GIS),https://www.coursera.org/specializations/gis
geography,"Our Earth: Its Climate, History, and Processes",https://www.coursera.org/learn/our-earth
geothermal energy,Renewable Energy,https://www.coursera.org/specializations/renewable-energy
github,Introduction to Git and GitHub,https://www.coursera.org/learn/introduction-git-github
global business,International Business I,https://www.coursera.org/learn/international-business
global operations,Operations and Process Management,https://www.coursera.org/learn/illinois-tech-operations-process-management
gmp,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
google cloud platforms,Google Cloud Fundamentals: Core Infrastructure,https://www.coursera.org/learn/gcp-fundamentals
google sheets,Google Sheets,https://www.coursera.org/learn/google-sheets
governance,Corporate Governance,https://www.coursera.org/learn/corporate-governance-1
government administration,Procurement for Governments,https://www.coursera.org/learn/procurement-for-governments
graphic design,Graphic Design,https://www.coursera.org/specializations/graphic-design
graphql,Node.js & MongoDB: Developing Back-end Database Applications,https://www.coursera.org/learn/intermediate-back-end-development-with-node-js-mongodb
green building standards,Green Building Assessment & Certification,https://www.coursera.org/learn/green-building-assessment--certification
greenfield projects,Google Project Management:,https://www.coursera.org/professional-certificates/google-project-management
gui,Build Your First GUI App With Java,https://www.coursera.org/projects/build-java-gui-apps
handle geospatial technologies,Geographic Information Systems (GIS),https://www.coursera.org/specializations/gis
hardware architectures,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
hardware components,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
hardware design,Embedded Software and Hardware Architecture,https://www.coursera.org/learn/embedded-software-hardware
hardware materials,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
hardware platforms,Introduction to Hardware and Operating Systems,https://www.coursera.org/learn/introduction-to-hardware-and-operating-systems
hardware solutions,AWS Cloud Solutions Architect,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
hardware testing,Software Testing and Automation,https://www.coursera.org/specializations/software-testing-automation
hardware testing methods,Software Testing and Automation,https://www.coursera.org/specializations/software-testing-automation
hazardous materials transportation,Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,https://www.coursera.org/learn/mechanics2
hazardous waste storage,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
hazardous waste treatment,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
hazardous waste types,Municipal Solid Waste Management in Developing Countries,https://www.coursera.org/learn/solid-waste-management
health and safety regulations,Introduction to OSHA: Safety Standards and Compliance,https://www.coursera.org/learn/introduction-to-osha-safety-standards-and-compliance
health insurance,Medical Billing and Coding Fundamentals,https://www.coursera.org/specializations/medical-billing-coding-fundamentals
health technology assessment,Data Science in Health Technology Assessment,https://www.coursera.org/learn/health-economics-and-hta
healthcare data systems,AI in Healthcare,https://www.coursera.org/specializations/ai-healthcare
heat pumps,Design of Ventilation& Air conditioning System for Buildings,https://www.coursera.org/specializations/design-of-ventilation-and-air-conditioning-system-for-buildings
heat recovery,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
heat transfer,Introduction to Thermodynamics: Transferring Energy from Here to There,https://www.coursera.org/learn/thermodynamics-intro
hive,Modern Big Data Analysis with SQL,https://www.coursera.org/specializations/cloudera-big-data-analysis-sql
housekeeping,Hospitality Luxury Brand Management,https://www.coursera.org/learn/hospitality-luxury-brand-management
hr operations,Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management
html,"Introduction to HTML, CSS, & JavaScript",https://www.coursera.org/learn/introduction-html-css-javascript
http/ https,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
hvac,Design of Ventilation& Air conditioning System for Buildings,https://www.coursera.org/specializations/design-of-ventilation-and-air-conditioning-system-for-buildings
hybrid cloud,Introduction to Cloud Computing,https://www.coursera.org/learn/introduction-to-cloud
hybrid control systems,Control Systems Analysis: Modeling of Dynamic Systems,https://www.coursera.org/learn/modeling-feedback-systems
hybrid model,Business Model Canvas: A Tool for Entrepreneurs and Innovators (Project-Centered Course),https://www.coursera.org/learn/business-model-canvas
hydraulic,Design of Industrial Piping Systems,https://www.coursera.org/specializations/design-of-industrial-piping-systems
hydrocarbon,Hydrocarbon Exploration and Production,https://www.coursera.org/learn/hydrocarbon-exploration-and-production
i2c,Internet of Things: Sensing and Actuation From Devices,https://www.coursera.org/learn/internet-of-things-sensing-actuation
iOS,Meta iOS Developer,https://www.coursera.org/professional-certificates/meta-ios-developer
ict,ICT in Primary Education: Transforming children's learning across the curriculum,https://www.coursera.org/learn/ict-primary-education
identify energy needs,"Energy Production, Distribution & Safety",https://www.coursera.org/specializations/energy-industry
identify technological needs,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business
image recognition,Convolutional Neural Networks,https://www.coursera.org/learn/convolutional-neural-networks
impact investing,Social Impact Strategy: Tools for Entrepreneurs and Innovators,https://www.coursera.org/learn/social-impact
implement sustainable procurement,Global Procurement and Sourcing,https://www.coursera.org/specializations/procurement-sourcing
incident investigation,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
